quarter_key,year,quarter,region_ar,city,property_type,rental_contracts,avg_rent,property_category_ar
2022Q3,2022,3,الرياض,Riyadh,Residential,4339,66830.19058,فيلا - سكني
2022Q3,2022,3,الرياض,Riyadh,Commercial,22206,705.163072,محل - تجاري
2022Q3,2022,3,الرياض,Riyadh,Commercial,4647,849.641482,معرض تجاري - تجاري
2022Q3,2022,3,الرياض,Riyadh,Commercial,5958,472.498098,مكتب - تجاري
2022Q4,2022,4,الرياض,Riyadh,Residential,6841,13476.931767,استديو - سكني
2022Q4,2022,4,الرياض,Riyadh,Residential,809,56577.473965,دوبلاكس - سكني
2022Q4,2022,4,الرياض,Riyadh,Residential,11979,30958.282443,دور - سكني
2022Q4,2022,4,الرياض,Riyadh,Residential,112191,20889.114025,شقة - سكني
2022Q4,2022,4,الرياض,Riyadh,Residential,4630,72003.588281,فيلا - سكني
2022Q4,2022,4,الرياض,Riyadh,Commercial,27726,681.941404,محل - تجاري
2022Q4,2022,4,الرياض,Riyadh,Commercial,6543,864.36252,معرض تجاري - تجاري
2022Q4,2022,4,الرياض,Riyadh,Commercial,7642,483.60225,مكتب - تجاري
2023Q1,2023,1,الرياض,Riyadh,Residential,7176,13459.710138,استديو - سكني
2023Q1,2023,1,الرياض,Riyadh,Residential,882,58854.514392,دوبلاكس - سكني
2023Q1,2023,1,الرياض,Riyadh,Residential,12024,31849.025385,دور - سكني
2023Q1,2023,1,الرياض,Riyadh,Residential,122399,21836.898781,شقة - سكني
2023Q1,2023,1,الرياض,Riyadh,Residential,5182,81296.382224,فيلا - سكني
2023Q1,2023,1,الرياض,Riyadh,Commercial,28253,722.308335,محل - تجاري
2023Q1,2023,1,الرياض,Riyadh,Commercial,6584,885.009922,معرض تجاري - تجاري
2023Q1,2023,1,الرياض,Riyadh,Commercial,8807,510.904872,مكتب - تجاري
2023Q2,2023,2,الرياض,Riyadh,Residential,6480,15077.327553,استديو - سكني
2023Q2,2023,2,الرياض,Riyadh,Residential,734,63094.041853,دوبلاكس - سكني
2023Q2,2023,2,الرياض,Riyadh,Residential,11065,32712.40222,دور - سكني
2023Q2,2023,2,الرياض,Riyadh,Residential,108756,22743.533471,شقة - سكني
2023Q2,2023,2,الرياض,Riyadh,Residential,4653,77420.12459,فيلا - سكني
2023Q2,2023,2,الرياض,Riyadh,Commercial,22631,721.269677,محل - تجاري
2023Q2,2023,2,الرياض,Riyadh,Commercial,5155,882.564247,معرض تجاري - تجاري
2023Q2,2023,2,الرياض,Riyadh,Commercial,6642,520.459879,مكتب - تجاري
2023Q3,2023,3,الرياض,Riyadh,Residential,7521,15480.512119,استديو - سكني
2023Q3,2023,3,الرياض,Riyadh,Residential,889,58069.466101,دوبلاكس - سكني
2023Q3,2023,3,الرياض,Riyadh,Residential,14411,33003.157171,دور - سكني
2023Q3,2023,3,الرياض,Riyadh,Residential,138404,23183.59985,شقة - سكني
2023Q3,2023,3,الرياض,Riyadh,Residential,6070,76707.689072,فيلا - سكني
2023Q3,2023,3,الرياض,Riyadh,Commercial,27557,735.863204,محل - تجاري
2023Q3,2023,3,الرياض,Riyadh,Commercial,7186,852.643221,معرض تجاري - تجاري
2023Q3,2023,3,الرياض,Riyadh,Commercial,7560,524.153969,مكتب - تجاري
2023Q4,2023,4,الرياض,Riyadh,Residential,7834,16973.744668,استديو - سكني
2023Q4,2023,4,الرياض,Riyadh,Residential,987,62631.183465,دوبلاكس - سكني
2023Q4,2023,4,الرياض,Riyadh,Residential,14406,33143.439185,دور - سكني
2023Q4,2023,4,الرياض,Riyadh,Residential,148446,23533.150397,شقة - سكني
2023Q4,2023,4,الرياض,Riyadh,Residential,6869,82875.263336,فيلا - سكني
2023Q4,2023,4,الرياض,Riyadh,Commercial,29969,733.335957,محل - تجاري
2023Q4,2023,4,الرياض,Riyadh,Commercial,7757,887.897309,معرض تجاري - تجاري
2023Q4,2023,4,الرياض,Riyadh,Commercial,8812,535.510075,مكتب - تجاري
2024Q1,2024,1,الرياض,Riyadh,Residential,8568,17223.743176,استديو - سكني
2024Q1,2024,1,الرياض,Riyadh,Residential,954,62625.016355,دوبلاكس - سكني
2024Q1,2024,1,الرياض,Riyadh,Residential,15320,35053.08455,دور - سكني
2024Q1,2024,1,الرياض,Riyadh,Residential,158213,25238.008669,شقة - سكني
2024Q1,2024,1,الرياض,Riyadh,Residential,7136,87247.395447,فيلا - سكني
2024Q1,2024,1,الرياض,Riyadh,Commercial,30255,767.622249,محل - تجاري
2024Q1,2024,1,الرياض,Riyadh,Commercial,7247,923.338937,معرض تجاري - تجاري
2024Q1,2024,1,الرياض,Riyadh,Commercial,9599,565.604131,مكتب - تجاري
2024Q2,2024,2,الرياض,Riyadh,Residential,7962,17963.639628,استديو - سكني
2024Q2,2024,2,الرياض,Riyadh,Residential,831,63670.265943,دوبلاكس - سكني
2024Q2,2024,2,الرياض,Riyadh,Residential,12626,37239.311737,دور - سكني
2024Q2,2024,2,الرياض,Riyadh,Residential,131936,26596.060885,شقة - سكني
2024Q2,2024,2,الرياض,Riyadh,Residential,6367,92648.181695,فيلا - سكني
2024Q2,2024,2,الرياض,Riyadh,Commercial,24133,767.613333,محل - تجاري
2024Q2,2024,2,الرياض,Riyadh,Commercial,6071,927.033853,معرض تجاري - تجاري
2024Q2,2024,2,الرياض,Riyadh,Commercial,8598,600.916727,مكتب - تجاري
2024Q3,2024,3,الرياض,Riyadh,Residential,10293,19009.64667,استديو - سكني
2024Q3,2024,3,الرياض,Riyadh,Residential,1033,67720.114006,دوبلاكس - سكني
2024Q3,2024,3,الرياض,Riyadh,Residential,15747,38097.912438,دور - سكني
2024Q3,2024,3,الرياض,Riyadh,Residential,170204,27310.412123,شقة - سكني
2024Q3,2024,3,الرياض,Riyadh,Residential,7667,92806.837414,فيلا - سكني
2024Q3,2024,3,الرياض,Riyadh,Commercial,29962,796.587326,محل - تجاري
2024Q3,2024,3,الرياض,Riyadh,Commercial,6892,944.67544,معرض تجاري - تجاري
2024Q3,2024,3,الرياض,Riyadh,Commercial,10545,601.9806,مكتب - تجاري
2024Q4,2024,4,الرياض,Riyadh,Residential,11013,20266.748518,استديو - سكني
2024Q4,2024,4,الرياض,Riyadh,Residential,1056,71527.803695,دوبلاكس - سكني
2024Q4,2024,4,الرياض,Riyadh,Residential,16173,38630.161044,دور - سكني
2024Q4,2024,4,الرياض,Riyadh,Residential,176769,28323.801605,شقة - سكني
2024Q4,2024,4,الرياض,Riyadh,Residential,7998,94936.164381,فيلا - سكني
2024Q4,2024,4,الرياض,Riyadh,Commercial,33265,820.019937,محل - تجاري
2024Q4,2024,4,الرياض,Riyadh,Commercial,8786,947.907012,معرض تجاري - تجاري
2024Q4,2024,4,الرياض,Riyadh,Commercial,10805,638.975457,مكتب - تجاري
2019Q1,2019,1,الباحة,Al Bahah,Residential,7,20100.0,استديو - سكني
2019Q1,2019,1,الباحة,Al Bahah,Residential,8,18714.285714,دور - سكني
2019Q1,2019,1,الباحة,Al Bahah,Residential,161,16340.126126,شقة - سكني
2019Q2,2019,2,الباحة,Al Bahah,Residential,1,9600.0,استديو - سكني
2019Q2,2019,2,الباحة,Al Bahah,Residential,8,14941.625,دور - سكني
2019Q2,2019,2,الباحة,Al Bahah,Residential,187,16753.532163,شقة - سكني
2019Q3,2019,3,الباحة,Al Bahah,Residential,9,10800.0,استديو - سكني
2019Q3,2019,3,الباحة,Al Bahah,Residential,1,9600.0,دوبلاكس - سكني
2019Q3,2019,3,الباحة,Al Bahah,Residential,6,20351.833333,دور - سكني
2019Q3,2019,3,الباحة,Al Bahah,Residential,195,16433.797468,شقة - سكني
2019Q3,2019,3,الباحة,Al Bahah,Residential,1,28800.0,فيلا - سكني
2019Q3,2019,3,الباحة,Al Bahah,Commercial,18,524.95964,محل - تجاري
2019Q4,2019,4,الباحة,Al Bahah,Residential,16,12415.384615,استديو - سكني
2019Q4,2019,4,الباحة,Al Bahah,Residential,10,17075.0,دور - سكني
2019Q4,2019,4,الباحة,Al Bahah,Residential,271,14697.077625,شقة - سكني
2019Q4,2019,4,الباحة,Al Bahah,Residential,2,19800.0,فيلا - سكني
2019Q4,2019,4,الباحة,Al Bahah,Commercial,30,477.782952,محل - تجاري
2019Q4,2019,4,الباحة,Al Bahah,Commercial,2,345.0,مكتب - تجاري
2020Q1,2020,1,الباحة,Al Bahah,Residential,26,11988.235294,استديو - سكني
2020Q1,2020,1,الباحة,Al Bahah,Residential,10,25146.0,دور - سكني
2020Q1,2020,1,الباحة,Al Bahah,Residential,223,14944.475935,شقة - سكني
2020Q1,2020,1,الباحة,Al Bahah,Commercial,13,544.465048,محل - تجاري
2020Q1,2020,1,الباحة,Al Bahah,Commercial,2,201.11111,مكتب - تجاري
2020Q2,2020,2,الباحة,Al Bahah,Residential,13,10015.384615,استديو - سكني
2020Q2,2020,2,الباحة,Al Bahah,Residential,8,19562.5,دور - سكني
2020Q2,2020,2,الباحة,Al Bahah,Residential,259,14410.695278,شقة - سكني
2020Q2,2020,2,الباحة,Al Bahah,Residential,1,44000.0,فيلا - سكني
2020Q2,2020,2,الباحة,Al Bahah,Commercial,14,378.467521,محل - تجاري
2020Q2,2020,2,الباحة,Al Bahah,Commercial,2,87.5,مكتب - تجاري
2020Q3,2020,3,الباحة,Al Bahah,Residential,34,11984.0,استديو - سكني
2020Q3,2020,3,الباحة,Al Bahah,Residential,14,17200.0,دور - سكني
2020Q3,2020,3,الباحة,Al Bahah,Residential,415,15484.367088,شقة - سكني
2020Q3,2020,3,الباحة,Al Bahah,Residential,2,37500.0,فيلا - سكني
2020Q3,2020,3,الباحة,Al Bahah,Commercial,110,742.302497,محل - تجاري
2020Q3,2020,3,الباحة,Al Bahah,Commercial,3,266.790123,مكتب - تجاري
2020Q4,2020,4,الباحة,Al Bahah,Residential,23,9647.826086,استديو - سكني
2020Q4,2020,4,الباحة,Al Bahah,Residential,1,25800.0,دوبلاكس - سكني
2020Q4,2020,4,الباحة,Al Bahah,Residential,9,40333.333333,دور - سكني
2020Q4,2020,4,الباحة,Al Bahah,Residential,427,14950.670487,شقة - سكني
2020Q4,2020,4,الباحة,Al Bahah,Commercial,107,437.685069,محل - تجاري
2020Q4,2020,4,الباحة,Al Bahah,Commercial,3,389.589836,معرض تجاري - تجاري
2020Q4,2020,4,الباحة,Al Bahah,Commercial,4,249.784482,مكتب - تجاري
2021Q1,2021,1,الباحة,Al Bahah,Residential,10,10240.0,استديو - سكني
2021Q1,2021,1,الباحة,Al Bahah,Residential,2,31600.0,دوبلاكس - سكني
2021Q1,2021,1,الباحة,Al Bahah,Residential,9,26464.555555,دور - سكني
2021Q1,2021,1,الباحة,Al Bahah,Residential,339,15439.583617,شقة - سكني
2021Q1,2021,1,الباحة,Al Bahah,Residential,1,18000.0,فيلا - سكني
2021Q1,2021,1,الباحة,Al Bahah,Commercial,110,560.997653,محل - تجاري
2021Q1,2021,1,الباحة,Al Bahah,Commercial,8,684.375,معرض تجاري - تجاري
2021Q1,2021,1,الباحة,Al Bahah,Commercial,6,372.048282,مكتب - تجاري
2021Q2,2021,2,الباحة,Al Bahah,Residential,12,10316.666666,استديو - سكني
2021Q2,2021,2,الباحة,Al Bahah,Residential,11,15041.4,دور - سكني
2021Q2,2021,2,الباحة,Al Bahah,Residential,280,15713.735751,شقة - سكني
2021Q2,2021,2,الباحة,Al Bahah,Commercial,74,543.671946,محل - تجاري
2021Q2,2021,2,الباحة,Al Bahah,Commercial,2,445.238095,مكتب - تجاري
2021Q3,2021,3,الباحة,Al Bahah,Residential,52,10877.777777,استديو - سكني
2021Q3,2021,3,الباحة,Al Bahah,Residential,1,9600.0,دوبلاكس - سكني
2021Q3,2021,3,الباحة,Al Bahah,Residential,26,25134.190476,دور - سكني
2021Q3,2021,3,الباحة,Al Bahah,Residential,561,15746.921348,شقة - سكني
2021Q3,2021,3,الباحة,Al Bahah,Residential,1,15000.0,فيلا - سكني
2021Q3,2021,3,الباحة,Al Bahah,Commercial,127,640.91875,محل - تجاري
2021Q3,2021,3,الباحة,Al Bahah,Commercial,7,494.805195,معرض تجاري - تجاري
2021Q3,2021,3,الباحة,Al Bahah,Commercial,4,403.333332,مكتب - تجاري
2021Q4,2021,4,الباحة,Al Bahah,Residential,33,11459.259259,استديو - سكني
2021Q4,2021,4,الباحة,Al Bahah,Residential,18,22601.2,دور - سكني
2021Q4,2021,4,الباحة,Al Bahah,Residential,506,15263.859605,شقة - سكني
2021Q4,2021,4,الباحة,Al Bahah,Residential,1,20000.0,فيلا - سكني
2021Q4,2021,4,الباحة,Al Bahah,Commercial,169,509.662175,محل - تجاري
2021Q4,2021,4,الباحة,Al Bahah,Commercial,8,480.524493,معرض تجاري - تجاري
2021Q4,2021,4,الباحة,Al Bahah,Commercial,18,419.846938,مكتب - تجاري
