quarter_key,year,quarter,region_ar,city,property_type,sales_transactions,market_value,avg_price_m2,rental_contracts,avg_rent,region,population,avg_income,inflation_rate,repo_rate
2020Q4,2020,4,المنطقة الشرقية,Dammam,Commercial,234.0,1003223299.19,1654.5122479127908,3292.0,635.8001383630012,Eastern Province,1532326,11775.0,3.45,1.0
2020Q4,2020,4,المنطقة الشرقية,Dammam,Residential,2211.0,2206843564.39,2382.7863967485378,21094.0,17462.985925896555,Eastern Province,1532326,11775.0,3.45,1.0
2020Q4,2020,4,المنطقة الشرقية,Khobar,Commercial,,,,1791.0,569.330501704076,Eastern Province,658550,11775.0,3.45,1.0
2020Q4,2020,4,المنطقة الشرقية,Khobar,Residential,91.0,56015889.14,3058.049912153846,12483.0,20936.051418267405,Eastern Province,658550,11775.0,3.45,1.0
2020Q4,2020,4,منطقة تبوك,Tabuk,Commercial,,,,1001.0,527.9645194015983,Tabuk,623665,11127.0,3.45,1.0
2020Q4,2020,4,منطقة تبوك,Tabuk,Residential,,,,3949.0,14844.640570702964,Tabuk,623665,11127.0,3.45,1.0
2020Q4,2020,4,منطقة جازان,Jazan,Commercial,,,,316.0,702.241240278481,Jazan,200911,10763.0,3.45,1.0
2020Q4,2020,4,منطقة جازان,Jazan,Residential,,,,2028.0,18884.217352079388,Jazan,200911,10763.0,3.45,1.0
2020Q4,2020,4,منطقة حائل,Hail,Commercial,,,,750.0,455.13301657066665,Hail,498575,9269.0,3.45,1.0
2020Q4,2020,4,منطقة حائل,Hail,Residential,,,,2126.0,13737.752292171685,Hail,498575,9269.0,3.45,1.0
2020Q4,2020,4,منطقة عسير,Abha,Commercial,,,,661.0,591.8284000242057,Aseer,422243,11264.0,3.45,1.0
2020Q4,2020,4,منطقة عسير,Abha,Residential,,,,1702.0,18185.92209916275,Aseer,422243,11264.0,3.45,1.0
2020Q4,2020,4,منطقة مكة المكرمة,Jeddah,Commercial,,,,8003.0,674.2285147418468,Makkah,3751722,10141.0,3.45,1.0
2020Q4,2020,4,منطقة مكة المكرمة,Jeddah,Residential,,,,49535.0,21036.138296110224,Makkah,3751722,10141.0,3.45,1.0
2020Q4,2020,4,منطقة مكة المكرمة,Makkah,Commercial,,,,2521.0,769.410891698929,Makkah,2427924,10141.0,3.45,1.0
2020Q4,2020,4,منطقة مكة المكرمة,Makkah,Residential,,,,9807.0,16792.910524084833,Makkah,2427924,10141.0,3.45,1.0
2020Q4,2020,4,منطقة الباحة,Al Bahah,Residential,7.0,3344898.0,,,,Al Bahah,90515,11348.0,3.45,1.0
2020Q4,2020,4,منطقة الرياض,Riyadh,Commercial,1245.0,12133942004.79,1658.147265087152,,,Riyadh,7009120,14990.0,3.45,1.0
2020Q4,2020,4,منطقة الرياض,Riyadh,Residential,18359.0,16973215415.82,2207.153728771237,,,Riyadh,7009120,14990.0,3.45,1.0
