city,year,property_type,sales_transactions,market_value,avg_transaction_value,avg_price_m2,rental_contracts,avg_rent,population,sales_quarters_available,rental_quarters_available,price_quarters_available
Jeddah,2024,Residential,,,,,439239.0,24952.460680320644,3751722,0,4,0
Khobar,2018,Residential,42.0,27001576.23,642894.6721428571,3092.319710809524,,,658550,4,0,4
Khobar,2019,Commercial,,,,,626.0,469.019993600639,658550,0,4,0
Khobar,2019,Residential,72.0,55085455.79,765075.7748611111,3511.688599347222,19026.0,21226.488292114478,658550,4,4,4
Khobar,2020,Commercial,,,,,3598.0,541.8754371556421,658550,0,4,0
Khobar,2020,Residential,218.0,126401432.73,579823.0859174312,2856.997324743119,34676.0,20929.4382288749,658550,4,4,4
Khobar,2021,Commercial,,,,,6568.0,558.620265614799,658550,0,4,0
Khobar,2021,Residential,309.0,219785708.23,711280.609158576,3699.8436905024273,40469.0,21451.8111394263,658550,4,4,4
Khobar,2022,Commercial,773.0,3305703550.87,4276459.962315653,1819.0301390051745,12344.0,602.6481476151166,658550,3,4,3
Khobar,2022,Residential,3930.0,5112369186.42,1300857.2993435115,2397.800657503308,59642.0,21591.060970686645,658550,4,4,4
Khobar,2023,Commercial,478.0,3115839966.8599997,6518493.654518828,1804.520139958159,14675.0,614.3925070448382,658550,3,4,3
Khobar,2023,Residential,3151.0,3835475111.7599998,1217224.726042526,3008.274508422723,75498.0,22335.161448737676,658550,3,4,3
Khobar,2024,Commercial,,,,,17636.0,606.5494156865503,658550,0,4,0
Khobar,2024,Residential,,,,,96661.0,23320.508331039022,658550,0,4,0
Madinah,2018,Commercial,228.0,366671096.07,1608206.5617105262,1007.6537011530763,,,1477047,4,0,4
Madinah,2018,Residential,1355.0,1033040167.22,762391.2673210333,1243.2456264818002,,,1477047,4,0,4
Madinah,2019,Commercial,263.0,377153408.72999996,1434043.3792015207,911.5447152132963,958.0,507.622588125261,1477047,4,4,4
Madinah,2019,Residential,2119.0,1612023262.56,760747.1744030203,1380.0044906070907,14445.0,17222.20714342679,1477047,4,4,4
Madinah,2020,Commercial,261.0,427226007.59000003,1636881.2551340996,1012.2699244202744,4017.0,647.9646616462534,1477047,4,4,4
Madinah,2020,Residential,1950.0,1263331680.82,647862.4004205128,1479.0428108342915,25531.0,16087.063313587796,1477047,4,4,4
Madinah,2021,Commercial,372.0,499511862.35,1342773.8235215053,1167.8011788511574,7841.0,736.2022782346639,1477047,4,4,4
Madinah,2021,Residential,2129.0,1735751891.9199998,815289.7566557068,1780.9004671874047,29319.0,16161.203420353695,1477047,4,4,4
Madinah,2022,Commercial,1136.0,2242533617.5699997,1974061.283072183,1255.6145916102514,22865.0,1267.554106302821,1477047,4,4,4
Madinah,2022,Residential,6755.0,6573615077.96,973148.0500310881,1713.9061868894498,70379.0,14937.997935220734,1477047,4,4,4
Madinah,2023,Commercial,784.0,3303350742.79,4213457.580089286,1061.271538319012,30991.0,1359.3010118957761,1477047,3,4,3
Madinah,2023,Residential,4650.0,3936849148.7,846634.2255268816,1831.8122908957175,117615.0,15023.68867721124,1477047,3,4,3
Madinah,2024,Commercial,,,,,34819.0,1409.024054775525,1477047,0,4,0
Madinah,2024,Residential,,,,,125901.0,16759.429968440127,1477047,0,4,0
Makkah,2018,Commercial,46.0,323105421.39,7024030.899782608,,,,2427924,4,0,0
Makkah,2018,Residential,811.0,3578241047.9800005,4412134.461134403,16603.79179418134,,,2427924,4,0,4
Makkah,2019,Commercial,53.0,283320141.8,5345663.052830189,3829.921259,2702.0,867.5889328667654,2427924,4,4,1
Makkah,2019,Residential,827.0,2106885990.52,2547625.139685611,3746.2819818007442,19154.0,18248.833702116008,2427924,4,4,4
Makkah,2020,Commercial,35.0,138835679.0,3966733.685714286,,5546.0,760.5006964523982,2427924,4,4,0
Makkah,2020,Residential,887.0,1665854707.4099998,1878077.460439684,5089.159004778833,30218.0,16668.316328310542,2427924,4,4,4
Makkah,2021,Commercial,81.0,146857175.32999998,1813051.5472839505,1717.5265539714285,7933.0,1229.7037000287407,2427924,4,4,3
Makkah,2021,Residential,1652.0,1570570583.04,950708.5853753026,5617.891577650938,33395.0,16464.556393330316,2427924,4,4,4
Makkah,2022,Commercial,751.0,4989635700.41,6643988.948615179,1522.9493281720652,19132.0,1451.510028778016,2427924,4,4,4
Makkah,2022,Residential,9125.0,8814040877.64,965922.2879605478,2168.7336840271787,83462.0,15665.291600933982,2427924,4,4,4
Makkah,2023,Commercial,516.0,2504038378.0,4852787.554263566,2019.9085248070098,27056.0,1648.3279907786073,2427924,3,4,3
Makkah,2023,Residential,5958.0,7860277680.62,1319281.24884525,2342.351216632766,132778.0,15514.494865150678,2427924,3,4,3
Makkah,2024,Commercial,,,,,31474.0,1502.5592157872848,2427924,0,4,0
Makkah,2024,Residential,,,,,149463.0,16633.466537834716,2427924,0,4,0
Najran,2019,Commercial,,,,,23.0,465.7150080869566,421902,0,4,0
Najran,2019,Residential,2.0,190000.0,95000.0,,1596.0,15936.245166772556,421902,1,4,0
Najran,2020,Commercial,,,,,669.0,412.6388317025411,421902,0,4,0
Najran,2020,Residential,3.0,1770000.0,590000.0,,6541.0,11337.737023210826,421902,2,4,0
Najran,2021,Commercial,,,,,1690.0,498.4304897289941,421902,0,4,0
Najran,2021,Residential,7.0,3479540.0,497077.14285714284,,5925.0,13565.300646573165,421902,2,4,0
Najran,2022,Commercial,492.0,222700208.75,452642.7007113821,180.07573928455284,4340.0,496.82872286105993,421902,3,4,3
Najran,2022,Residential,1877.0,611203192.9399999,325627.7000213106,368.67598632950063,31657.0,10847.23453160628,421902,3,4,3
Najran,2023,Commercial,375.0,165248504.37,440662.67832,189.851080832,5213.0,475.194712361596,421902,3,4,3
Najran,2023,Residential,1445.0,488300497.53000003,337924.21974394465,517.4335463238755,48936.0,11386.597080963074,421902,3,4,3
Najran,2024,Commercial,,,,,5594.0,454.8907646188774,421902,0,4,0
Najran,2024,Residential,,,,,42620.0,16011.177268387844,421902,0,4,0
Riyadh,2018,Commercial,2570.0,21348415381.980003,8306776.413221791,1582.4531683334947,,,7009120,4,0,4
Riyadh,2018,Residential,39003.0,34487433727.19,884225.1551724226,1653.1754143442702,,,7009120,4,0,4
Riyadh,2019,Commercial,3858.0,26699414727.79,6920532.588851737,1653.2343518857995,7530.0,478.70551962815404,7009120,4,4,4
Riyadh,2019,Residential,59754.0,60770259247.119995,1017007.3843946848,1655.4468728518207,136412.0,22062.69460632789,7009120,4,4,4
Riyadh,2020,Commercial,3817.0,26833993936.27,7030126.78445638,1699.487473491557,35284.0,524.5257984311586,7009120,4,4,4
Riyadh,2020,Residential,57098.0,55872639593.33,978539.3462700971,2274.2757308686582,229287.0,21283.579213755653,7009120,4,4,4
Riyadh,2021,Commercial,5877.0,40593275461.5,6907142.327973456,2086.1913585318557,67948.0,626.9841621239772,7009120,4,4,4
Riyadh,2021,Residential,70237.0,75633049238.62,1076826.305773595,2723.189717578689,281963.0,21959.248584535504,7009120,4,4,4
Riyadh,2022,Commercial,6126.0,46773503858.52,7635243.855455435,2577.765412618764,139040.0,674.3401031354863,7009120,4,4,4
Riyadh,2022,Residential,59460.0,72046673750.28,1211683.0432270435,3331.1947403234776,472274.0,22796.84130905078,7009120,4,4,4
Riyadh,2023,Commercial,3129.0,31604081725.28,10100377.668673698,2749.379398128225,166913.0,713.0358282411617,7009120,3,4,3
Riyadh,2023,Residential,35760.0,47231780567.759995,1320799.2328791944,3994.2552592281954,625188.0,25621.339169778654,7009120,3,4,3
Riyadh,2024,Commercial,,,,,186158.0,773.0043383830671,7009120,0,4,0
Riyadh,2024,Residential,,,,,767866.0,30005.110949372876,7009120,0,4,0
Sakaka,2019,Commercial,,,,,595.0,442.3012294487395,236669,0,4,0
Sakaka,2019,Residential,1.0,266076.0,266076.0,,2120.0,12800.996165979717,236669,1,4,0
Sakaka,2020,Commercial,,,,,1007.0,403.08860972691167,236669,0,4,0
Sakaka,2020,Residential,1.0,500000.0,500000.0,,4456.0,11952.342697646769,236669,1,4,0
Sakaka,2021,Commercial,,,,,1420.0,408.83979034295777,236669,0,4,0
Sakaka,2021,Residential,3.0,150000.0,50000.0,,4052.0,12323.346045131539,236669,1,4,0
Sakaka,2022,Commercial,447.0,105643119.53,236338.0750111857,143.01310250559285,2798.0,403.89393517476765,236669,3,4,3
Sakaka,2022,Residential,1550.0,443319902.65999997,286012.8404258064,195.4397108157934,10477.0,11433.40031241319,236669,4,4,3
